opportunity_id,account,sales_agent,manager,regional_office,product,deal_stage,engage_date,close_value,priority_score,priority_label,top_positive_reason_1,top_positive_reason_2,top_risk_reason_1,top_risk_reason_2,recommended_action
HB740BLB,Silis,Hayden Neloms,Celia Rouche,West,MG Special,Engaging,2017-12-20,,47.7899399787905,Foco Agora,bom histórico do vendedor,estágio avançado no funil,histórico do manager abaixo do ideal,região com baixa conversão histórica,avançar para o próximo passo hoje
W5FH95XO,,Hayden Neloms,Celia Rouche,West,MG Special,Engaging,2017-10-30,,47.7899399787905,Foco Agora,bom histórico do vendedor,estágio avançado no funil,histórico do manager abaixo do ideal,região com baixa conversão histórica,avançar para o próximo passo hoje
T7N0RX05,,Maureen Marcano,Summer Sewald,West,GTX Plus Pro,Engaging,2017-11-04,,47.712424932159664,Foco Agora,bom histórico do vendedor,estágio avançado no funil,região com baixa conversão histórica,histórico do manager abaixo do ideal,avançar para o próximo passo hoje
GMY4U7RD,,Maureen Marcano,Summer Sewald,West,GTX Basic,Engaging,2017-12-09,,47.625929073043174,Foco Agora,bom histórico do vendedor,estágio avançado no funil,região com baixa conversão histórica,histórico do manager abaixo do ideal,avançar para o próximo passo hoje
HN6TZPAF,,Wilburn Farren,Cara Losch,East,GTX Plus Pro,Engaging,2017-10-31,,47.56377473546809,Foco Agora,bom histórico do vendedor,estágio avançado no funil,região com baixa conversão histórica,histórico do manager abaixo do ideal,avançar para o próximo passo hoje
HWOBBZWQ,,Wilburn Farren,Cara Losch,East,GTX Basic,Engaging,2017-10-24,,47.4772788763516,Foco Agora,bom histórico do vendedor,estágio avançado no funil,região com baixa conversão histórica,histórico do manager abaixo do ideal,avançar para o próximo passo hoje
G1W97XZA,,Maureen Marcano,Summer Sewald,West,GTX Plus Basic,Engaging,2017-11-13,,47.38782515821474,Foco Agora,bom histórico do vendedor,estágio avançado no funil,produto com baixa tração histórica,região com baixa conversão histórica,avançar para o próximo passo hoje
62PCN0KS,,Maureen Marcano,Summer Sewald,West,GTX Plus Basic,Engaging,2017-11-16,,47.38782515821474,Foco Agora,bom histórico do vendedor,estágio avançado no funil,produto com baixa tração histórica,região com baixa conversão histórica,avançar para o próximo passo hoje
SLILSQJV,,Maureen Marcano,Summer Sewald,West,GTX Plus Basic,Engaging,2017-10-19,,47.38782515821474,Foco Agora,bom histórico do vendedor,estágio avançado no funil,produto com baixa tração histórica,região com baixa conversão histórica,avançar para o próximo passo hoje
HCQK8NQ8,,Wilburn Farren,Cara Losch,East,GTX Plus Basic,Engaging,2017-12-20,,47.239174961523176,Foco Agora,bom histórico do vendedor,estágio avançado no funil,produto com baixa tração histórica,região com baixa conversão histórica,avançar para o próximo passo hoje
PMK11X5L,,Wilburn Farren,Cara Losch,East,GTX Plus Basic,Engaging,2017-11-08,,47.239174961523176,Foco Agora,bom histórico do vendedor,estágio avançado no funil,produto com baixa tração histórica,região com baixa conversão histórica,avançar para o próximo passo hoje
HXGDBNAV,,Maureen Marcano,Summer Sewald,West,MG Advanced,Engaging,2017-10-25,,47.11794512830122,Foco Agora,bom histórico do vendedor,estágio avançado no funil,produto com baixa tração histórica,região com baixa conversão histórica,avançar para o próximo passo hoje
NNNEMOZ5,,James Ascencio,Summer Sewald,West,GTX Plus Pro,Engaging,2017-11-05,,46.82861072002603,Foco Agora,bom histórico do vendedor,estágio avançado no funil,região com baixa conversão histórica,histórico do manager abaixo do ideal,avançar para o próximo passo hoje
YQJGEI71,,James Ascencio,Summer Sewald,West,GTX Plus Pro,Engaging,2017-10-19,,46.82861072002603,Foco Agora,bom histórico do vendedor,estágio avançado no funil,região com baixa conversão histórica,histórico do manager abaixo do ideal,avançar para o próximo passo hoje
46UHJGY0,,Corliss Cosme,Cara Losch,East,MG Special,Engaging,2017-11-02,,46.821948883237766,Foco Agora,bom histórico do vendedor,estágio avançado no funil,região com baixa conversão histórica,histórico do manager abaixo do ideal,avançar para o próximo passo hoje
S7UVZXM3,,Corliss Cosme,Cara Losch,East,MG Special,Engaging,2017-10-24,,46.821948883237766,Foco Agora,bom histórico do vendedor,estágio avançado no funil,região com baixa conversão histórica,histórico do manager abaixo do ideal,avançar para o próximo passo hoje
7S8SLZDY,,Rosalina Dieter,Celia Rouche,West,MG Special,Engaging,2017-11-27,,46.801901701278524,Foco Agora,estágio avançado no funil,produto com bom desempenho histórico,histórico do manager abaixo do ideal,região com baixa conversão histórica,avançar para o próximo passo hoje
RVUJPYY8,,Rosalina Dieter,Celia Rouche,West,MG Special,Engaging,2017-10-18,,46.801901701278524,Foco Agora,estágio avançado no funil,produto com bom desempenho histórico,histórico do manager abaixo do ideal,região com baixa conversão histórica,avançar para o próximo passo hoje
0KWYQTQQ,,Rosalina Dieter,Celia Rouche,West,MG Special,Engaging,2017-11-10,,46.801901701278524,Foco Agora,estágio avançado no funil,produto com bom desempenho histórico,histórico do manager abaixo do ideal,região com baixa conversão histórica,avançar para o próximo passo hoje
